title,description,imageUrl,price,releaseDate,developer,publisher,platform,country,status,stock,discount,ageRating,features,genres,slideImages
The Witcher 3: Wild Hunt,"The Witcher 3: Wild Hunt is a story-driven open-world RPG set in a visually stunning fantasy universe full of meaningful choices and impactful consequences.","https://example.com/witcher3.jpg",49.99,2015-05-19,CD Projekt Red,CD Projekt,PC,UNITED_STATES,PUBLISHED,100,0,Mature,Open World,Action RPG,Fantasy,Adventure,https://example.com/slide1.jpg,Cinematic Trailer,1;https://example.com/slide2.jpg,Gameplay Preview,2
Grand Theft Auto V,"Grand Theft Auto V is an action-adventure game set in the fictional state of San Andreas.","https://example.com/gta5.jpg",29.99,2013-09-17,Rockstar North,Rockstar Games,PC,UNITED_STATES,PUBLISHED,100,0,Mature,Open World,Action,Adventure,Crime,https://example.com/gta5slide1.jpg,Official Trailer,1;https://example.com/gta5slide2.jpg,Gameplay Demo,2
The Legend of Zelda: Breath of the Wild,"The Legend of Zelda: Breath of the Wild is an action-adventure game set in the fantasy land of Hyrule.","https://example.com/zelda.jpg",59.99,2017-03-03,Nintendo,Nintendo,Switch,UNITED_STATES,PUBLISHED,100,0,Everyone,Open World,Action RPG,Fantasy,Adventure,https://example.com/zeldaslide1.jpg,Announcement Trailer,1;https://example.com/zeldaslide2.jpg,Gameplay Showcase,2
Red Dead Redemption 2,"Red Dead Redemption 2 is a Western-themed action-adventure game set in an open world environment.","https://example.com/reddead2.jpg",39.99,2018-10-26,Rockstar Studios,Rockstar Games,PC,UNITED_STATES,PUBLISHED,100,0,Mature,Open World,Action,Adventure,Western,https://example.com/reddead2slide1.jpg,Launch Trailer,1;https://example.com/reddead2slide2.jpg,Gameplay Walkthrough,2
Minecraft,"Minecraft is a sandbox video game that allows players to build with a variety of different blocks in a 3D procedurally generated world.","https://example.com/minecraft.jpg",19.99,2011-11-18,Mojang,Mojang,PC,UNITED_STATES,PUBLISHED,100,0,Everyone,Open World,Sandbox,Creative,Building,https://example.com/minecraftslide1.jpg,Release Trailer,1;https://example.com/minecraftslide2.jpg,Gameplay Showcase,2
Fortnite,"Fortnite is a battle royale game where up to 100 players fight to be the last one standing.","https://example.com/fortnite.jpg",0,2017-07-25,Epic Games,Epic Games,PC,UNITED_STATES,PUBLISHED,100,0,Teen,Battle Royale,Shooter,Multiplayer,Action,https://example.com/fortniteslide1.jpg,Season Trailer,1;https://example.com/fortniteslide2.jpg,Gameplay Highlights,2
Among Us,"Among Us is an online multiplayer social deduction game where players work together to complete tasks while trying to identify impostors.","https://example.com/amongus.jpg",4.99,2018-06-15,InnerSloth,InnerSloth,PC,UNITED_STATES,PUBLISHED,100,0,Everyone,Online,Multiplayer,Social Deduction,Party,https://example.com/amongusslide1.jpg,Trailer,1;https://example.com/amongusslide2.jpg,Gameplay Overview,2
Overwatch,"Overwatch is a team-based multiplayer first-person shooter game developed and published by Blizzard Entertainment.","https://example.com/overwatch.jpg",39.99,2016-05-24,Blizzard Entertainment,Blizzard Entertainment,PC,UNITED_STATES,PUBLISHED,100,0,Teen,Team-Based,Shooter,Multiplayer,Action,https://example.com/overwatchslide1.jpg,Animated Short,1;https://example.com/overwatchslide2.jpg,Gameplay Showcase,2
League of Legends,"League of Legends is a multiplayer online battle arena game developed and published by Riot Games.","https://example.com/leagueoflegends.jpg",0,2009-10-27,Riot Games,Riot Games,PC,UNITED_STATES,PUBLISHED,100,0,Teen,MOBA,Strategy,Multiplayer,Action,https://example.com/leagueoflegendsslide1.jpg,Champion Spotlight,1;https://example.com/leagueoflegendsslide2.jpg,Gameplay
Call of Duty: Warzone,"Call of Duty: Warzone is a free-to-play battle royale game developed by Infinity Ward and Raven Software.","https://example.com/warzone.jpg",0,2020-03-10,Infinity Ward,Raven Software,PC,UNITED_STATES,PUBLISHED,100,0,Mature,Battle Royale,Shooter,Multiplayer,Action,https://example.com/warzoneslide1.jpg,Reveal Trailer,1;https://example.com/warzoneslide2.jpg,Gameplay Demo,2
